area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,8,Electronic City,1,Prarkun,630,1,1.0,33.7
Plot  Area,3,Kothanur,8,Other,1050,5,0.0,80.0
Built-up  Area,0,Other,3,Other,1255,2,1.0,60.0
Plot  Area,0,Ramamurthy Nagar,4,Other,1900,4,2.0,185.0
Plot  Area,0,Other,3,Other,2440,3,1.0,142.0
Super built-up  Area,5,Kanakpura Road,3,Other,1938,3,3.0,92.69
Super built-up  Area,0,Bannerghatta Road,3,Other,1711,3,2.0,125.0
Plot  Area,0,Nagarbhavi,5,Other,1200,4,3.0,240.0
Super built-up  Area,7,Other,2,Other,1392,2,1.0,95.0
Super built-up  Area,3,Haralur Road,2,SNnia E,1225,2,1.0,77.0
Super built-up  Area,0,Sarjapur  Road,4,Other,3418,3,2.0,235.0
Super built-up  Area,0,Other,3,Other,1750,3,2.0,120.0
Super built-up  Area,0,Other,3,Other,1260,2,1.0,80.0
Super built-up  Area,12,Sarjapur  Road,1,Other,691,1,1.0,31.1
Plot  Area,0,Other,4,Other,2400,3,2.0,400.0
Super built-up  Area,0,Haralur Road,2,Other,1285,2,1.0,78.0
Built-up  Area,0,Hebbal,3,Other,1590,3,2.0,96.0
Super built-up  Area,0,Other,3,Other,1571,3,2.0,65.0
Built-up  Area,0,Other,5,Other,2800,5,1.0,220.0
Super built-up  Area,0,Other,2,Other,1060,2,1.0,48.66
Super built-up  Area,0,Hennur,2,Other,1255,2,1.0,58.0
Plot  Area,0,Other,4,Other,702,4,0.0,65.0
Plot  Area,0,Other,3,Other,2400,2,2.0,185.0
Super built-up  Area,0,Bannerghatta Road,3,SNity S,1520,2,3.0,81.0
Super built-up  Area,0,Kanakpura Road,3,Other,1530,2,2.0,70.99
Super built-up  Area,0,Other,2,Other,1170,2,1.0,45.51
Super built-up  Area,0,Other,3,Other,1580,3,2.0,75.0
Super built-up  Area,0,Other,3,Other,1777,3,2.0,89.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1303,2,2.0,55.78
Built-up  Area,0,Other,2,Other,1680,2,3.0,59.0
Built-up  Area,0,Whitefield,3,Other,1495,2,2.0,70.0
Super built-up  Area,3,Yelahanka,3,Other,1835,3,1.0,108.0
Plot  Area,0,Other,3,Other,610,3,1.0,60.0
Built-up  Area,0,Other,2,Other,1080,2,2.0,38.0
Built-up  Area,12,Electronic City,2,Other,1025,2,1.0,29.61
Super built-up  Area,8,Haralur Road,2,SNnia E,1225,2,1.0,67.48
Super built-up  Area,1,Other,1,Soresea,656,1,1.0,34.77
Super built-up  Area,0,Sarjapur  Road,2,Other,994,2,2.0,45.0
Super built-up  Area,0,Other,2,Other,1025,2,1.0,65.0
Built-up  Area,0,Marathahalli,2,Other,1156,2,2.0,52.0
Super built-up  Area,0,JP Nagar,2,Other,1250,2,2.0,60.0
Built-up  Area,0,Other,4,Other,3092,4,3.0,230.0
Super built-up  Area,0,Other,3,Other,1930,4,2.0,122.0
Built-up  Area,0,Other,2,Other,1020,2,1.0,70.0
Built-up  Area,0,Other,3,Other,1310,2,1.0,70.0
Super built-up  Area,12,Jalahalli,1,Other,612,1,0.0,27.565
Built-up  Area,0,Kanakpura Road,2,Other,1322,2,3.0,70.0
Super built-up  Area,0,Kothanur,2,Other,1160,2,2.0,57.0
Super built-up  Area,0,Other,2,Other,1100,2,2.0,48.0
Built-up  Area,0,Other,3,RothaVa,1720,3,3.0,150.0
Super built-up  Area,7,Other,3,Other,1689,3,2.0,103.0
Super built-up  Area,0,Other,2,Other,1090,2,1.0,47.42
Super built-up  Area,0,KR Puram,2,Other,2000,2,0.0,75.0
Super built-up  Area,0,Other,2,Other,1155,2,2.0,69.0
Built-up  Area,0,Other,6,Other,4000,6,0.0,230.0
Built-up  Area,6,Sarjapur  Road,4,Other,3913,5,0.0,176.0
Super built-up  Area,0,Hebbal,3,Other,3520,5,2.0,320.0
Super built-up  Area,6,JP Nagar,2,Other,1125,2,2.0,39.98
Built-up  Area,4,Yelahanka,3,Other,1847,3,3.0,92.0
Super built-up  Area,0,7th Phase JP Nagar,3,Other,1515,2,1.0,76.0
Plot  Area,0,Raja Rajeshwari Nagar,8,Other,3450,7,2.0,225.0
Plot  Area,0,Yelahanka,5,Other,2500,3,1.0,120.0
Built-up  Area,0,Sarjapur  Road,2,Other,1130,2,2.0,55.0
Super built-up  Area,0,Bellandur,2,Other,1049,2,1.0,51.0
Super built-up  Area,0,Other,3,Other,2650,4,0.0,175.0
Super built-up  Area,12,Other,2,Other,850,2,1.0,25.4
Super built-up  Area,1,Other,3,Other,1842,3,2.0,115.0
Plot  Area,0,Other,5,Other,2600,5,3.0,370.0
Super built-up  Area,12,Jakkur,2,Other,1282,2,1.0,72.0
Super built-up  Area,0,Other,2,Other,800,2,1.0,40.0
Plot  Area,0,Other,4,Other,1200,4,2.0,240.0
Super built-up  Area,9,Chandapura,3,SunceEs,1190,2,2.0,30.35
Super built-up  Area,5,Other,3,Other,1318,2,1.0,68.0
Super built-up  Area,7,Kanakpura Road,2,Other,1698,2,1.0,105.0
Super built-up  Area,0,Other,3,Other,2030,2,1.0,182.0
Super built-up  Area,0,Other,3,Other,1276,2,1.0,31.9
Super built-up  Area,0,Other,3,Other,1555,2,1.0,67.0
Super built-up  Area,5,Sarjapur  Road,3,Other,1881,3,2.0,145.0
Super built-up  Area,0,Other,3,Other,2900,3,2.0,325.0
Super built-up  Area,7,Yelahanka,3,Other,1890,3,2.0,109.0
Super built-up  Area,0,Other,5,Other,900,5,2.0,135.0
Super built-up  Area,12,Old Madras Road,2,Other,935,2,1.0,32.0
Super built-up  Area,0,Other,2,Other,1000,2,3.0,58.0
Super built-up  Area,0,Other,3,Other,1510,3,2.0,75.0
Built-up  Area,0,Uttarahalli,2,Other,1120,2,1.0,50.0
Super built-up  Area,0,Other,2,Other,930,2,1.0,25.99
Super built-up  Area,0,Electronic City,3,Other,1160,2,2.0,42.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2.0,48.1
Super built-up  Area,0,Other,2,Other,1175,2,2.0,62.0
Built-up  Area,0,Bellandur,3,Other,1350,2,1.0,63.0
Super built-up  Area,0,Malleshwaram,3,Other,2215,3,2.0,330.0
Super built-up  Area,0,Other,2,Other,996,2,1.0,24.9
Super built-up  Area,12,Other,2,Other,1076,2,1.0,30.13
Super built-up  Area,0,Other,4,Other,2180,4,3.0,115.0
Super built-up  Area,0,Kasavanhalli,3,Other,1715,3,3.0,112.0
Super built-up  Area,0,Hebbal,2,Other,1072,2,2.0,45.0
Super built-up  Area,0,Panathur,2,Other,1230,2,1.0,80.0
Super built-up  Area,0,Other,3,Other,1600,2,1.0,65.0
Super built-up  Area,12,Thanisandra,3,Bhe 2ko,1411,3,1.0,93.25
Built-up  Area,0,Other,5,Other,3600,5,3.0,145.0
Super built-up  Area,0,Jalahalli,3,Other,2404,3,2.0,138.0
Plot  Area,0,Other,4,Other,1200,4,2.0,190.0
Plot  Area,4,Nagarbhavi,3,Other,1200,3,2.0,226.0
Built-up  Area,0,Other,3,Other,1208,3,1.0,45.0
Plot  Area,0,Yeshwanthpur,5,Other,1700,5,2.0,300.0
Super built-up  Area,12,Haralur Road,2,SNnia E,1225,2,1.0,69.84
Super built-up  Area,9,Hebbal,2,Other,1162,2,1.0,69.0
Super built-up  Area,0,Thanisandra,3,Other,1262,2,1.0,65.0
Super built-up  Area,4,Other,2,Other,1050,2,2.0,35.0
Built-up  Area,12,Electronic City Phase II,2,Sryalan,1160,2,1.0,33.51
Plot  Area,7,Other,3,Other,1500,3,1.0,61.95
Super built-up  Area,0,Other,3,Other,1610,3,3.0,85.0
Super built-up  Area,0,Whitefield,2,Other,1340,2,2.0,41.0
Super built-up  Area,0,Sarjapur  Road,3,Adeatlm,2275,4,2.0,182.0
Super built-up  Area,0,Budigere,2,PrityTr,1162,2,1.0,58.0
Built-up  Area,0,Other,2,Other,1500,2,0.0,145.0
Plot  Area,0,Other,4,Other,3150,3,1.0,135.0
Super built-up  Area,7,Hosa Road,2,Other,1170,2,2.0,65.0
Super built-up  Area,0,Sarjapur  Road,2,Other,980,2,1.0,25.0
Built-up  Area,0,Other,3,Other,1800,3,2.0,60.0
Super built-up  Area,12,Other,3,Other,1423,2,1.0,71.73
Super built-up  Area,0,Kaggadasapura,2,Other,1106,2,3.0,40.0
Built-up  Area,0,Other,2,Other,1105,2,2.0,27.6
Super built-up  Area,0,Other,2,Other,1255,2,1.0,56.7
Super built-up  Area,0,Sarjapur  Road,3,Other,1525,2,2.0,65.0
Super built-up  Area,8,Other,2,Other,1061,2,1.0,38.95
Plot  Area,3,Other,2,Other,600,2,2.0,29.5
Super built-up  Area,5,Electronic City Phase II,3,Sryalan,1400,2,2.0,40.45
Super built-up  Area,0,Other,3,Other,2100,3,2.0,145.0
Super built-up  Area,0,Electronic City,2,Other,660,1,1.0,16.5
Built-up  Area,0,Kengeri,2,Other,633,1,1.0,18.0
Super built-up  Area,0,Other,2,Other,1260,2,3.0,120.0
Super built-up  Area,0,Other,2,Other,907,2,0.0,55.43
Super built-up  Area,10,Hennur Road,3,Other,2047,3,2.0,67.55
Built-up  Area,0,Other,4,Other,2597,4,3.0,189.0
Built-up  Area,0,Bellandur,2,Other,1211,2,1.0,63.0
Super built-up  Area,0,Hennur Road,3,Other,1904,3,2.0,129.0
Super built-up  Area,1,Other,2,Soresea,1205,2,1.0,73.87
Super built-up  Area,0,Yeshwanthpur,2,IBityin,1164,2,2.0,64.08
Super built-up  Area,0,Other,2,Other,1410,2,2.0,73.0
Built-up  Area,0,Other,2,Other,1150,2,1.0,42.0
Super built-up  Area,7,Other,2,Other,1170,2,2.0,53.11
Built-up  Area,0,Hennur,2,Other,1420,2,1.0,62.0
Super built-up  Area,0,Panathur,2,Other,1125,2,2.0,45.0
Built-up  Area,0,Other,3,Other,1789,3,3.0,75.0
Super built-up  Area,0,Hulimavu,2,Other,1021,2,1.0,76.0
Super built-up  Area,5,Other,2,Other,1074,2,2.0,26.85
Super built-up  Area,0,Other,2,Other,1222,2,3.0,48.0
Super built-up  Area,0,Hennur Road,3,Other,1981,3,1.0,134.0
Built-up  Area,0,Other,2,Other,1103,2,2.0,55.0
Super built-up  Area,0,Other,2,Other,1201,2,1.0,65.0
Super built-up  Area,0,Sarjapur  Road,2,Other,970,2,1.0,36.0
Super built-up  Area,0,Sarjapur,2,Other,920,2,2.0,33.0
Super built-up  Area,0,Yeshwanthpur,3,IBityin,1520,3,3.0,85.0
Plot  Area,0,Other,3,Other,675,3,2.0,75.0
Super built-up  Area,11,Other,3,Other,1268,2,1.0,75.0
Super built-up  Area,0,Other,1,Other,660,1,0.0,30.0
Super built-up  Area,0,Harlur,3,Prncyrn,1755,3,2.0,115.0
Super built-up  Area,0,Other,2,Other,945,2,1.0,35.0
Carpet  Area,7,8th Phase JP Nagar,1,Other,500,1,1.0,33.0
Super built-up  Area,0,Harlur,4,Other,2820,4,0.0,153.5
Built-up  Area,0,Other,4,Other,1632,3,0.0,140.0
Super built-up  Area,0,Rachenahalli,2,Other,1167,2,2.0,37.5
Super built-up  Area,0,Other,2,Other,1276,2,2.0,80.0
Built-up  Area,0,Thanisandra,2,Other,1234,2,2.0,51.0
Super built-up  Area,0,Other,2,RothaVa,1180,2,1.0,75.0
Super built-up  Area,0,Other,3,Other,1370,2,2.0,87.0
Super built-up  Area,9,Chandapura,2,SunceEs,1015,2,2.0,25.88
Plot  Area,0,Other,9,Other,1200,9,3.0,230.0
Built-up  Area,0,Electronic City,3,Other,1400,3,1.0,90.0
Plot  Area,0,Whitefield,5,Other,1500,6,3.0,155.0
Plot  Area,0,Other,2,Other,1050,2,0.0,40.0
Super built-up  Area,7,Ramagondanahalli,2,Other,1251,2,1.0,46.0
Super built-up  Area,0,Yeshwanthpur,3,IBityin,1677,3,2.0,92.13
Super built-up  Area,3,Sarjapur  Road,2,Other,1346,2,1.0,67.38
Built-up  Area,7,Electronic City Phase II,2,Sryalan,1090,2,1.0,31.48
Plot  Area,0,Other,5,Other,1200,4,3.0,240.0
Super built-up  Area,0,Other,3,Other,1290,2,3.0,51.1
Super built-up  Area,0,Sarjapur  Road,3,Other,1881,3,2.0,145.0
Super built-up  Area,0,Other,2,Other,1150,2,2.0,52.0
Built-up  Area,0,Sarjapur,3,Other,2690,3,2.0,295.0
Super built-up  Area,0,Kanakpura Road,3,Other,1200,2,2.0,42.0
Super built-up  Area,0,Other,3,Other,2735,4,2.0,340.0
Built-up  Area,0,Other,2,Other,950,2,0.0,65.0
Built-up  Area,0,Other,3,Other,1491,3,3.0,40.5
Super built-up  Area,7,Ramamurthy Nagar,2,Other,1050,2,1.0,51.66
Super built-up  Area,6,Hoodi,3,GoAirej,1660,3,2.0,131.0
Super built-up  Area,0,Other,2,Other,1134,2,2.0,55.0
Built-up  Area,0,Hebbal,2,Other,1100,2,1.0,60.0
Plot  Area,0,Other,4,Other,800,4,2.0,60.0
Plot  Area,5,Other,2,Other,1200,2,1.0,36.1
Plot  Area,0,Nagarbhavi,4,Other,1200,4,3.0,240.0
Plot  Area,0,Other,3,Other,980,3,1.0,80.0
Super built-up  Area,0,Other,2,Other,1080,2,1.0,37.8
Super built-up  Area,0,Other,1,Other,705,2,1.0,50.0
Super built-up  Area,0,Other,3,Other,1200,2,2.0,35.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,50.0
Super built-up  Area,12,Other,3,Other,1804,3,2.0,127.0
Built-up  Area,0,Other,2,Other,750,2,0.0,20.0
Super built-up  Area,0,Other,2,Other,420,1,1.0,25.0
Built-up  Area,0,Malleshwaram,4,Other,2800,4,2.0,252.0
Super built-up  Area,5,Other,2,Other,1090,2,2.0,38.37
Plot  Area,0,Other,2,Other,1500,2,0.0,230.0
Built-up  Area,0,Electronic City,3,Other,1287,3,1.0,55.0
Super built-up  Area,0,Thigalarapalya,3,Prtanha,2215,4,2.0,157.0
Plot  Area,0,Other,4,Other,2800,4,2.0,375.0
Built-up  Area,0,Sarjapur  Road,2,Other,1045,2,2.0,42.15
Super built-up  Area,7,Hormavu,2,Other,1263,2,1.0,47.36
Super built-up  Area,0,Whitefield,3,Other,1431,3,2.0,85.0
Super built-up  Area,0,Other,2,Other,999,2,2.0,32.9
Super built-up  Area,0,Other,3,Prlla C,1650,3,2.0,85.5
Super built-up  Area,0,Other,3,Other,1535,3,1.0,72.0
Super built-up  Area,4,Marathahalli,4,Other,2524,5,2.0,180.0
Super built-up  Area,12,Kanakpura Road,3,PrarePa,1300,3,2.0,69.0
Plot  Area,0,Other,3,Other,600,3,2.0,125.0
Super built-up  Area,0,7th Phase JP Nagar,3,Other,2095,3,2.0,150.0
Super built-up  Area,6,Other,1,Other,500,1,1.0,14.0
Super built-up  Area,0,Other,2,Other,1265,2,2.0,68.0
Super built-up  Area,0,Other,2,Other,1215,2,1.0,44.96
Plot  Area,0,Other,2,Other,2200,2,0.0,180.0
Built-up  Area,0,Electronics City Phase 1,2,Other,1028,2,1.0,51.0
Super built-up  Area,0,Other,3,Other,1835,2,2.0,92.0
Super built-up  Area,0,Other,3,Other,1800,3,3.0,65.0
Super built-up  Area,5,Other,3,Other,2077,3,3.0,175.0
Plot  Area,0,Sarjapur  Road,4,Other,2880,3,2.0,211.0
Built-up  Area,0,Other,6,Other,499,5,0.0,89.0
Super built-up  Area,0,Other,2,Other,708,2,1.0,31.15
Super built-up  Area,0,Other,2,Other,1200,2,3.0,120.0
Built-up  Area,0,Other,2,Other,925,2,1.0,46.25
Built-up  Area,3,Bannerghatta Road,3,Other,2826,3,1.0,148.0
Carpet  Area,12,Kanakpura Road,1,Other,458,1,0.0,33.66
Built-up  Area,0,Other,4,Other,3500,4,0.0,150.0
Plot  Area,0,Other,4,Other,1000,5,2.0,200.0
Built-up  Area,0,Other,3,Other,1450,2,1.0,90.0
Super built-up  Area,0,Kasavanhalli,2,Other,1100,2,1.0,65.0
Super built-up  Area,0,Other,2,Other,1185,2,3.0,55.0
Built-up  Area,0,Other,4,Other,1900,4,2.0,80.0
Plot  Area,0,TC Palaya,2,Other,1200,2,1.0,70.0
Super built-up  Area,4,Other,1,Other,660,1,1.0,35.0
Super built-up  Area,0,Other,3,Other,1920,4,2.0,121.0
Plot  Area,0,Jalahalli,2,Other,1200,2,0.0,130.0
Built-up  Area,0,Sarjapur  Road,4,Other,3418,2,2.0,222.0
Super built-up  Area,0,Other,4,Other,4550,2,1.0,240.0
Super built-up  Area,9,Other,2,Rosha I,1205,2,1.0,68.32
Super built-up  Area,0,Haralur Road,2,Other,1200,2,2.0,46.0
Super built-up  Area,0,Akshaya Nagar,3,Other,1421,2,2.0,73.0
Super built-up  Area,8,Other,3,Other,1250,3,3.0,48.9
Super built-up  Area,12,Whitefield,1,Other,524,1,1.0,29.0
Built-up  Area,0,HSR Layout,5,Other,4200,5,2.0,245.0
Super built-up  Area,0,Other,3,Other,1540,3,2.0,90.0
Super built-up  Area,11,Sarjapur  Road,2,Other,984,2,1.0,45.91
Super built-up  Area,11,Rachenahalli,2,Other,985,2,1.0,50.17
Built-up  Area,6,Whitefield,4,Other,2830,4,3.0,161.0
Super built-up  Area,0,Other,2,Other,1140,2,3.0,60.0
Built-up  Area,0,Other,5,Other,3600,5,3.0,130.0
Super built-up  Area,0,Begur Road,3,Dhalsh ,1410,2,3.0,44.42
Super built-up  Area,0,Raja Rajeshwari Nagar,3,Other,1700,2,2.0,86.0
Super built-up  Area,12,Other,2,Other,1360,2,0.0,62.425
Plot  Area,0,Electronic City,4,Other,1800,3,2.0,700.0
Super built-up  Area,4,Other,2,Other,1333,2,1.0,86.65
Super built-up  Area,0,Electronic City,2,Other,1258,2,1.0,85.5
Super built-up  Area,0,Other,3,Other,1458,2,2.0,87.0
Built-up  Area,0,Electronic City,2,Prarkun,1386,2,1.0,85.0
Built-up  Area,8,Electronic City Phase II,2,Sryalan,1140,2,1.0,32.92
Built-up  Area,0,Other,1,GMown E,550,1,1.0,27.0
Super built-up  Area,0,Other,2,RothaVa,1200,2,3.0,83.0
Super built-up  Area,0,Other,2,Other,1081,2,1.0,39.0
Super built-up  Area,0,Whitefield,4,Other,2135,3,2.0,149.0
Built-up  Area,8,Whitefield,4,Other,2500,4,0.0,100.0
Super built-up  Area,0,Other,2,Other,1178,2,1.0,80.0
Super built-up  Area,0,Other,2,Other,991,2,2.0,40.0
Super built-up  Area,0,Other,3,Other,1493,2,3.0,90.0
Super built-up  Area,0,Other,3,Other,2495,3,3.0,130.0
Super built-up  Area,0,Other,2,Other,1080,2,1.0,31.99
Super built-up  Area,0,Other,2,Other,814,2,1.0,53.0
Super built-up  Area,0,Electronic City,2,GMown E,1025,2,1.0,50.0
Super built-up  Area,12,Bannerghatta Road,2,PrarePa,1115,2,1.0,61.0
Super built-up  Area,0,Whitefield,4,Other,3075,2,3.0,188.0
Plot  Area,0,Other,7,Other,1900,3,0.0,162.0
Super built-up  Area,0,Whitefield,3,Other,1760,3,2.0,160.0
Super built-up  Area,0,Other,7,Other,4000,8,1.0,150.0
Built-up  Area,0,Marathahalli,4,Other,3090,4,2.0,350.0
Built-up  Area,0,Other,4,Other,2700,4,3.0,295.0
Super built-up  Area,0,Other,2,Other,1175,2,2.0,52.86
Super built-up  Area,12,Hebbal,4,Other,4235,5,3.0,364.0
Super built-up  Area,0,KR Puram,2,Other,1100,2,2.0,45.0
Plot  Area,0,Other,8,Other,1200,7,1.0,175.0
Super built-up  Area,0,Banashankari,2,Other,1450,2,2.0,50.75
Super built-up  Area,0,Other,3,Other,1810,3,3.0,131.0
Super built-up  Area,0,Other,3,Other,1426,2,3.0,71.0
Built-up  Area,0,Other,3,Other,2400,2,3.0,195.0
Built-up  Area,0,Other,2,Other,1100,2,1.0,70.0
Super built-up  Area,0,Electronic City Phase II,1,Other,650,1,1.0,35.0
Super built-up  Area,12,Old Madras Road,3,Other,1350,3,2.0,47.25
Super built-up  Area,12,Other,2,Other,900,2,1.0,27.0
Super built-up  Area,0,Other,2,Other,1360,2,3.0,110.0
Super built-up  Area,0,Yeshwanthpur,1,IBityin,674,1,1.0,36.85
Super built-up  Area,7,Whitefield,3,Prtates,1655,3,2.0,110.0
Plot  Area,0,Other,2,Other,1300,2,2.0,95.0
Built-up  Area,3,Other,1,Other,936,1,0.0,53.0
Super built-up  Area,0,Other,2,Other,1277,2,2.0,92.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,54.0
Super built-up  Area,0,Hormavu,2,Other,1015,2,1.0,39.08
Super built-up  Area,0,Budigere,2,PrityTr,1153,2,2.0,60.0
Super built-up  Area,0,Kengeri,2,Other,1035,2,1.0,51.5
Built-up  Area,0,KR Puram,5,Other,3300,3,1.0,255.0
Super built-up  Area,0,Uttarahalli,2,Other,1150,2,1.0,46.0
Super built-up  Area,0,Malleshwaram,2,Other,1020,2,1.0,80.0
Super built-up  Area,6,Old Madras Road,4,Other,3715,6,0.0,212.5
Super built-up  Area,0,8th Phase JP Nagar,2,Other,1160,2,1.0,95.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,31.0
Built-up  Area,0,Other,2,Other,1225,2,2.0,72.0
Plot  Area,0,Other,4,Other,5000,5,3.0,950.0
Plot  Area,0,Other,2,Other,1600,2,1.0,160.0
Plot  Area,0,Malleshwaram,2,Other,600,1,0.0,90.0
Built-up  Area,0,Other,3,Other,1350,3,2.0,60.0
Super built-up  Area,10,Kanakpura Road,3,PrarePa,1300,3,1.0,69.0
Super built-up  Area,12,Other,2,Other,830,2,1.0,36.28
Super built-up  Area,0,Hennur Road,2,Other,1155,2,1.0,69.18
Super built-up  Area,0,Other,4,Other,3126,5,3.0,345.0
Super built-up  Area,0,Jalahalli,2,Other,905,2,2.0,55.0
Super built-up  Area,0,Other,3,Other,1375,2,0.0,75.0
Plot  Area,0,Other,3,Other,1575,2,2.0,31.11
Super built-up  Area,4,Electronic City,2,Other,1140,2,2.0,33.84
Super built-up  Area,0,Hormavu,3,Other,1550,2,2.0,60.0
Super built-up  Area,0,Other,2,Other,957,2,1.0,55.0
Built-up  Area,0,Other,2,Other,890,2,2.0,45.0
Super built-up  Area,0,KR Puram,4,Other,3000,4,2.0,235.0
Super built-up  Area,0,Electronic City,2,GMown E,1070,2,1.0,55.0
Plot  Area,0,Other,5,Other,2400,5,1.0,150.0
Plot  Area,0,Other,4,Other,2400,4,2.0,595.0
Super built-up  Area,0,Rachenahalli,2,Other,925,2,1.0,37.0
Built-up  Area,0,Other,2,Other,1415,2,2.0,60.0
Plot  Area,0,Other,1,Other,500,2,0.0,80.0
Super built-up  Area,0,Thanisandra,2,Other,1225,2,1.0,37.0
Built-up  Area,0,Hennur Road,4,Other,2000,4,0.0,90.0
Super built-up  Area,12,Whitefield,1,Other,840,1,1.0,57.0
Plot  Area,0,Other,9,Other,1560,9,2.0,200.0
Super built-up  Area,12,Thanisandra,3,Bhe 2ko,1732,3,1.0,112.0
Plot  Area,0,Other,1,Other,1200,1,0.0,45.0
Super built-up  Area,0,Other,2,Other,1260,2,1.0,69.9
Super built-up  Area,0,Other,2,Other,1092,2,1.0,49.0
Super built-up  Area,0,Other,2,Other,827,2,0.0,34.0
Super built-up  Area,0,Other,2,Other,1357,2,2.0,54.0
Super built-up  Area,0,Other,2,Other,650,1,1.0,40.0
Super built-up  Area,0,7th Phase JP Nagar,3,Other,1370,2,1.0,54.79
Super built-up  Area,0,Whitefield,3,Other,1725,3,2.0,106.0
Built-up  Area,0,Jalahalli,2,Other,1000,2,0.0,70.0
Plot  Area,0,TC Palaya,1,Other,1350,1,0.0,55.0
Plot  Area,0,7th Phase JP Nagar,4,Other,3200,4,2.0,350.0
Super built-up  Area,0,Bellandur,3,Other,1717,3,2.0,110.0
Super built-up  Area,12,Kanakpura Road,2,PrarePa,700,2,1.0,34.0
Super built-up  Area,0,Other,2,Other,800,2,1.0,32.0
Super built-up  Area,0,Rajaji Nagar,3,PhestOn,2367,4,3.0,340.0
Super built-up  Area,0,Other,3,Other,1415,2,1.0,65.0
Super built-up  Area,12,7th Phase JP Nagar,3,Other,1976,3,1.0,145.0
Super built-up  Area,0,Other,2,Other,883,2,1.0,37.01
Super built-up  Area,0,Yelahanka,1,Other,700,1,1.0,38.0
Super built-up  Area,0,Sarjapur,3,Other,1445,3,1.0,50.0
Super built-up  Area,12,Other,3,Other,2082,3,2.0,104.0
Super built-up  Area,0,HSR Layout,2,Other,1140,2,2.0,46.0
Super built-up  Area,0,Thanisandra,2,Bhmesy ,933,2,1.0,66.0
Plot  Area,0,Other,4,Other,800,5,1.0,95.5
Built-up  Area,0,Electronic City Phase II,2,Other,1155,2,1.0,57.0
Super built-up  Area,0,Whitefield,2,Other,1130,2,1.0,36.0
Super built-up  Area,0,Other,2,Other,1200,2,2.0,73.2
Super built-up  Area,0,Other,2,Other,1055,2,1.0,43.0
Super built-up  Area,0,Rajaji Nagar,3,Other,1555,3,2.0,125.0
Super built-up  Area,0,Bellandur,3,Other,1420,3,2.0,62.0
Super built-up  Area,4,Other,3,Other,2214,3,2.0,350.0
Super built-up  Area,4,Other,1,Other,658,1,1.0,26.91
Carpet  Area,12,Other,2,Rosha I,897,2,1.0,78.74
Plot  Area,0,Other,4,Other,4000,3,2.0,750.0
Built-up  Area,0,KR Puram,2,Other,1035,2,2.0,40.0
Plot  Area,0,Whitefield,4,Other,2064,5,2.0,225.0
Super built-up  Area,0,Other,3,Other,1839,3,3.0,160.0
Super built-up  Area,0,Begur Road,2,Dhalsh ,1200,2,2.0,44.0
Built-up  Area,0,Other,1,Other,488,1,1.0,20.0
Built-up  Area,0,Other,3,Other,1200,2,1.0,198.0
Built-up  Area,0,Other,5,Other,2760,5,2.0,140.0
Super built-up  Area,0,Other,2,Other,993,2,2.0,42.0
Super built-up  Area,0,Hoodi,2,Other,1225,2,1.0,45.0
Plot  Area,0,TC Palaya,2,Other,900,2,0.0,55.0
Plot  Area,2,Electronic City,9,Other,1200,10+,2.0,150.0
Built-up  Area,0,Other,2,Other,825,2,1.0,32.0
Super built-up  Area,0,Bellandur,4,Other,3596,4,2.0,359.0
Plot  Area,0,Other,6,Other,1350,4,1.0,203.0
Super built-up  Area,0,Electronic City Phase II,3,Other,1800,3,3.0,92.0
Super built-up  Area,0,Other,2,Other,925,2,1.0,100.0
Super built-up  Area,3,Kanakpura Road,2,Other,1167,2,1.0,63.0
Super built-up  Area,0,Sarjapur,2,Other,1150,2,1.0,41.0
Super built-up  Area,8,Other,1,Other,650,1,1.0,50.0
Built-up  Area,0,Sarjapur  Road,1,Other,675,1,1.0,27.0
Plot  Area,0,Other,2,Other,2260,3,1.0,90.0
Super built-up  Area,4,Other,1,Other,720,1,0.0,32.39
Plot  Area,0,Whitefield,3,Other,4800,4,2.0,600.0
Super built-up  Area,0,Other,2,Other,1100,2,1.0,58.0
Super built-up  Area,0,Other,2,Other,550,1,1.0,20.0
Super built-up  Area,0,Uttarahalli,3,Aklia R,1330,2,1.0,58.0
Super built-up  Area,0,Koramangala,2,Other,1320,2,1.0,160.0
Super built-up  Area,0,Other,3,Other,1685,4,2.0,185.0
Super built-up  Area,0,Other,6,Other,2400,5,2.0,75.0
Super built-up  Area,4,Banashankari,3,Other,1770,3,3.0,108.0
Super built-up  Area,0,Other,3,Other,2100,3,3.0,125.0
Super built-up  Area,0,Other,2,Other,1000,2,3.0,42.0
Plot  Area,0,Other,4,Other,600,5,1.0,105.0
Plot  Area,0,Ramamurthy Nagar,4,Other,2916,5,1.0,230.0
Super built-up  Area,0,Kanakpura Road,3,Other,1420,2,1.0,65.0
Super built-up  Area,0,Other,3,Other,1400,3,2.0,81.0
Built-up  Area,0,Other,2,Other,750,2,1.0,37.49
